Ciudad,Provincia,Producto_Regional,Producción_Toneladas,Índice_Industrialización
Ilave,El Collao,Maca,5123,6.1
Coata,Puno,Kañiwa,3271,6.0
Copani,Yunguyo,Trucha,3207,3.9
Juliaca,San Román,Miel,582,1.8
Huacullani,Chucuito,Fresa,2150,4.9
Copani,Yunguyo,Trigo,14230,4.8
Ayaviri,Melgar,Kañiwa,6933,7.5
Ayaviri,Melgar,Tarwi,8153,7.4
Putina,San Antonio de Putina,Tarwi,2744,8.9
Unicachi,Yunguyo,Quinua,17837,5.5
Juliaca,San Román,Cebada,15228,9.0
Orurillo,Melgar,Oca,5099,7.9
Santa Rosa,El Collao,Quinua,13050,4.4
Azángaro,Azángaro,Carne de llama,1008,9.2
Ayaviri,Melgar,Trucha,4028,6.3
Orurillo,Melgar,Papa,35466,5.3
Capachica,Puno,Tarwi,8774,4.1
Yunguyo,Yunguyo,Carne de alpaca,2785,6.1
Tiquillaca,Puno,Olluco,8492,8.3
Ayaviri,Melgar,Cacao,2130,4.8
Yunguyo,Yunguyo,Oca,1069,9.7
Phara,Sandia,Carne de alpaca,1962,6.8
Achaya,Azángaro,Oca,8351,3.0
Lampa,Lampa,Quinua,15203,4.5
Vilque,Puno,Cacao,6903,2.3
San Gabán,Carabaya,Miel,2319,7.4
San Antón,Azángaro,Fresa,1471,8.9
Lampa,Lampa,Carne de alpaca,2209,5.8
Vilque,Puno,Kañiwa,4572,2.1
Capaso,El Collao,Carne de alpaca,5992,4.3
Santa Rosa,El Collao,Oca,5910,9.1
Coata,Puno,Tarwi,8237,5.0
Pichacani,Puno,Maca,6779,9.2
Yunguyo,Yunguyo,Trucha,1416,8.3
San Antonio,Puno,Olluco,2107,6.6
Vilquechico,Huancané,Maíz,13428,8.0
Lampa,Lampa,Carne de llama,2913,2.4
Palca,Lampa,Carne de llama,2607,9.2
Pucará,Lampa,Maíz,16714,9.2
Juliaca,San Román,Trucha,7835,4.2
Juliaca,San Román,Café,8723,6.0
Copani,Yunguyo,Maíz,21900,3.4
Juliaca,San Román,Quinua,5645,8.6
Macusani,Carabaya,Miel,1067,8.1
Mañazo,Puno,Kañiwa,3213,3.9
Capaso,El Collao,Fresa,2395,9.3
Capachica,Puno,Olluco,8633,2.5
Acora,Puno,Papa,43112,2.0
Pucará,Lampa,Café,8065,2.1
Acora,Puno,Quinua,9670,5.3
Chucuito,Puno,Kañiwa,8554,6.6
Mañazo,Puno,Carne de alpaca,4805,8.2
Tiquillaca,Puno,Café,9318,9.2
Achaya,Azángaro,Miel,2464,4.1
Putina,San Antonio de Putina,Trucha,1077,1.5
Capachica,Puno,Cacao,8419,6.1
Huacullani,Chucuito,Fresa,3056,6.6
Pomata,Chucuito,Oca,5322,3.4
Lampa,Lampa,Quinua,3858,3.5
Nuñoa,Melgar,Ajo,2297,7.5
Achaya,Azángaro,Quinua,13258,7.3
Moho,Moho,Fresa,2279,8.2
Yanahuaya,Sandia,Quinua,4933,8.5
Vilque,Puno,Maca,545,1.7
Moho,Moho,Trigo,15155,6.1
Conima,Moho,Olluco,7062,3.9
Sandia,Sandia,Lácteos,10519,2.5
Coata,Puno,Lácteos,7338,8.2
Antauta,Melgar,Café,6636,8.9
Juliaca,San Román,Cebada,22472,5.6
Santa Rosa,El Collao,Miel,1424,7.3
Vilque,Puno,Cebada,8547,3.1
Unicachi,Yunguyo,Kiwicha,7122,8.5
Macusani,Carabaya,Kañiwa,2769,8.8
Phara,Sandia,Cacao,7861,6.4
Pedro Vilca Apaza,San Antonio de Putina,Oca,5893,5.3
Muñani,Azángaro,Trucha,7815,4.1
Pomata,Chucuito,Lácteos,8222,3.5
Juli,Chucuito,Cebada,21465,6.0
Huacullani,Chucuito,Trucha,1026,7.3
Tiquillaca,Puno,Tarwi,1406,2.2
Ilave,El Collao,Trigo,18978,9.0
Azángaro,Azángaro,Tarwi,9007,5.8
Pomata,Chucuito,Cebada,5956,3.7
Tiquillaca,Puno,Olluco,5123,1.4
Macusani,Carabaya,Cebolla,10819,2.0
Cabanilla,Lampa,Cebada,10799,6.4
Yunguyo,Yunguyo,Oca,5542,6.5
Taraco,Huancané,Maíz,5772,3.5
Mañazo,Puno,Kiwicha,6330,4.2
Pichacani,Puno,Olluco,4154,7.8
Pichacani,Puno,Maca,3390,2.1
Crucero,Carabaya,Carne de llama,4407,9.1
Muñani,Azángaro,Carne de llama,3754,9.1
Pomata,Chucuito,Cebolla,12873,3.1
Huacullani,Chucuito,Maíz,21530,9.0
Asillo,Azángaro,Trigo,3980,3.6
Achaya,Azángaro,Tuna,4724,8.1
Copani,Yunguyo,Quinua,5502,5.6
Quilcapuncu,San Antonio de Putina,Lácteos,3684,2.7
San Antón,Azángaro,Carne de llama,1483,4.3
Juli,Chucuito,Maíz,6925,9.1
San Antón,Azángaro,Café,1608,3.1
Lampa,Lampa,Lácteos,6477,8.4
Huata,Puno,Cebolla,4509,4.3
Antauta,Melgar,Lácteos,7695,7.0
San Antón,Azángaro,Cacao,2118,4.5
Juliaca,San Román,Miel,1517,8.6
Taraco,Huancané,Carne de alpaca,4949,2.0
Juliaca,San Román,Fresa,769,2.6
Quilcapuncu,San Antonio de Putina,Maca,3275,6.9
Tilali,Moho,Cebolla,2036,9.4
Santa Rosa,El Collao,Fresa,3332,8.6
Huancané,Huancané,Trigo,21808,6.0
Yanahuaya,Sandia,Cebada,8905,4.8
Achaya,Azángaro,Trigo,7809,9.1
Ayaviri,Melgar,Ajo,4341,9.2
Quilcapuncu,San Antonio de Putina,Trucha,7224,6.3
Pedro Vilca Apaza,San Antonio de Putina,Fresa,3327,9.6
Pucará,Lampa,Lácteos,9450,4.2
Huancané,Huancané,Cebolla,14724,8.3
Santa Rosa,El Collao,Carne de alpaca,1926,8.3
Ollachea,Carabaya,Maíz,29125,9.1
Tilali,Moho,Cebolla,7517,6.6
Juliaca,San Román,Lácteos,2430,2.7
Ananea,San Antonio de Putina,Kiwicha,11560,3.9
Ayaviri,Melgar,Carne de llama,3965,2.0
Putina,San Antonio de Putina,Maca,1237,2.7
Capaso,El Collao,Maca,897,7.6
Antauta,Melgar,Kiwicha,10278,5.0
Moho,Moho,Cacao,2151,8.8
Arapa,Azángaro,Tarwi,6192,5.9
Acora,Puno,Kañiwa,1645,9.6
Nuñoa,Melgar,Tuna,362,7.8
Huata,Puno,Lácteos,9418,3.5
Ayaviri,Melgar,Maíz,17404,4.7
Pomata,Chucuito,Cacao,1011,3.3
Coata,Puno,Olluco,5422,6.1
Mañazo,Puno,Kiwicha,11572,9.6
Taraco,Huancané,Tuna,521,5.8
Acora,Puno,Café,9096,4.7
Acora,Puno,Trucha,4352,2.2
Pomata,Chucuito,Kañiwa,7605,2.5
Pichacani,Puno,Cebada,8767,2.8
Huancané,Huancané,Ajo,2046,7.6
Putina,San Antonio de Putina,Maca,2373,5.2
Desaguadero,Chucuito,Papa,21123,2.0
San Gabán,Carabaya,Carne de alpaca,1399,7.2
Yanahuaya,Sandia,Kiwicha,10770,3.1
Conima,Moho,Tarwi,9744,3.9
Taraco,Huancané,Kañiwa,7203,9.1
Moho,Moho,Carne de llama,4076,4.8
Moho,Moho,Cebolla,12478,3.5
Pilcuyo,El Collao,Carne de llama,703,7.7
Muñani,Azángaro,Tarwi,7933,2.5
Crucero,Carabaya,Olluco,4887,3.1
Azángaro,Azángaro,Maíz,16073,3.9
Azángaro,Azángaro,Maíz,18473,2.9
Lampa,Lampa,Maíz,13742,8.6
Arapa,Azángaro,Miel,1355,1.7
Yunguyo,Yunguyo,Carne de alpaca,631,2.8
Yanahuaya,Sandia,Cacao,2531,6.4
Nuñoa,Melgar,Trigo,14131,1.8
Muñani,Azángaro,Café,1433,5.2
Ollachea,Carabaya,Café,5182,7.2
Arapa,Azángaro,Trucha,3410,3.3
Orurillo,Melgar,Maca,2584,8.6
Vilquechico,Huancané,Tuna,1765,8.9
Moho,Moho,Maíz,23623,8.2
San Antonio,Puno,Café,5924,2.5
Ananea,San Antonio de Putina,Maíz,6430,6.1
Vilque,Puno,Café,2804,6.6
Saman,Azángaro,Kiwicha,4107,4.8
San Juan del Oro,Sandia,Cacao,1092,5.2
Capaso,El Collao,Café,4741,5.5
Huata,Puno,Papa,20112,6.3
Santa Rosa,El Collao,Trucha,6578,4.4
Ananea,San Antonio de Putina,Tuna,1586,3.3
Huacullani,Chucuito,Cacao,3679,5.5
San Antonio,Puno,Carne de llama,3031,6.3
Crucero,Carabaya,Oca,7887,7.1
Ollachea,Carabaya,Cebada,19003,9.4
Arapa,Azángaro,Kiwicha,6055,3.1
Quilcapuncu,San Antonio de Putina,Trucha,3732,8.2
Nuñoa,Melgar,Carne de alpaca,5324,7.6
Asillo,Azángaro,Cacao,3189,8.9
Chucuito,Puno,Tuna,4110,4.9
Capachica,Puno,Olluco,6695,6.7
Desaguadero,Chucuito,Oca,1320,6.4
Saman,Azángaro,Trigo,15359,9.4
Antauta,Melgar,Trigo,15585,8.9
Asillo,Azángaro,Carne de llama,1416,7.4
San Gabán,Carabaya,Maíz,12681,3.1
Pedro Vilca Apaza,San Antonio de Putina,Miel,1028,2.6
Ananea,San Antonio de Putina,Carne de llama,1902,9.3
Ananea,San Antonio de Putina,Quinua,13255,4.0
Cabanilla,Lampa,Cebolla,6251,9.6
Phara,Sandia,Maíz,5170,5.1
Tiquillaca,Puno,Lácteos,6936,2.3
Ilave,El Collao,Olluco,2030,2.4
Cabanilla,Lampa,Kañiwa,5862,6.0
Huancané,Huancané,Olluco,8551,9.5
San Juan del Oro,Sandia,Café,5706,1.6
San Antón,Azángaro,Quinua,14792,3.3
Juli,Chucuito,Maca,4594,3.5
Pucará,Lampa,Tuna,2346,7.4
Pilcuyo,El Collao,Papa,26464,5.3
Conima,Moho,Lácteos,5910,4.8
Palca,Lampa,Lácteos,6445,2.0
Pilcuyo,El Collao,Tuna,4799,1.4
Sandia,Sandia,Olluco,6549,4.8
Santa Rosa,El Collao,Maca,5220,9.3
Tiquillaca,Puno,Tuna,2717,7.6
Vilque,Puno,Trucha,7961,4.1
Acora,Puno,Maíz,20658,9.6
Pedro Vilca Apaza,San Antonio de Putina,Kiwicha,11981,4.4
Phara,Sandia,Tuna,1188,9.4
Putina,San Antonio de Putina,Olluco,8941,5.6
Cabanilla,Lampa,Tuna,3124,6.1
Sandia,Sandia,Kañiwa,8156,4.4
Achaya,Azángaro,Maca,2950,8.0
Pichacani,Puno,Carne de alpaca,4401,2.9
San Gabán,Carabaya,Maíz,18501,1.7
San Antón,Azángaro,Olluco,6461,1.6
Asillo,Azángaro,Maca,3438,8.5
Ilave,El Collao,Tuna,4316,5.2
Lampa,Lampa,Papa,20822,3.9
Ayaviri,Melgar,Carne de alpaca,1536,7.4
Santa Rosa,El Collao,Olluco,4595,8.2
Palca,Lampa,Maíz,26471,6.2
San Antonio,Puno,Maíz,20375,8.4
Macusani,Carabaya,Maíz,14665,7.6
Cabanilla,Lampa,Quinua,9425,5.8
Macusani,Carabaya,Oca,6962,9.7
Ilave,El Collao,Fresa,3005,7.3
Huata,Puno,Miel,1108,1.8
Asillo,Azángaro,Tuna,3259,6.0
Crucero,Carabaya,Ajo,1536,2.8
Copani,Yunguyo,Tuna,698,7.2
Ayaviri,Melgar,Tuna,3149,3.3
Cabanilla,Lampa,Maca,4602,2.3
Putina,San Antonio de Putina,Kañiwa,2689,5.3
Asillo,Azángaro,Carne de alpaca,5325,4.8
Antauta,Melgar,Miel,2362,8.0
Ananea,San Antonio de Putina,Carne de llama,3523,2.6
Santa Rosa,El Collao,Oca,3187,8.9
Moho,Moho,Cebada,14245,3.6
Tilali,Moho,Cebada,19071,9.3
Phara,Sandia,Kiwicha,11137,4.5
Huata,Puno,Maca,1085,8.3
Vilquechico,Huancané,Carne de alpaca,2668,5.3
Desaguadero,Chucuito,Miel,373,7.2
Yanahuaya,Sandia,Carne de alpaca,3809,4.5
Chucuito,Puno,Ajo,3793,8.3
Chucuito,Puno,Lácteos,2758,3.1
Quilcapuncu,San Antonio de Putina,Miel,1752,2.8
Tilali,Moho,Cacao,4657,3.9
Mañazo,Puno,Cacao,7552,4.9
Mañazo,Puno,Café,4738,2.2
San Antonio,Puno,Oca,8975,2.5
San Antonio,Puno,Olluco,5637,4.3
Cabanilla,Lampa,Oca,7156,4.0
Copani,Yunguyo,Carne de alpaca,4555,2.2
Quilcapuncu,San Antonio de Putina,Quinua,10090,3.8
Acora,Puno,Café,10515,8.3
Juli,Chucuito,Quinua,13967,7.0
Nuñoa,Melgar,Carne de alpaca,4737,7.0
Pedro Vilca Apaza,San Antonio de Putina,Ajo,3343,7.0
Vilquechico,Huancané,Oca,4985,8.9
Crucero,Carabaya,Oca,6789,2.3
Quilcapuncu,San Antonio de Putina,Ajo,5162,4.7
Phara,Sandia,Lácteos,7088,7.7
Juliaca,San Román,Lácteos,2990,9.5
Unicachi,Yunguyo,Oca,7839,8.6
San Gabán,Carabaya,Carne de alpaca,3366,3.6
Azángaro,Azángaro,Cebada,15642,6.5
Palca,Lampa,Oca,4549,7.2
Nuñoa,Melgar,Cacao,1086,4.2
Yunguyo,Yunguyo,Fresa,1585,7.3
Ananea,San Antonio de Putina,Fresa,694,3.8
Saman,Azángaro,Ajo,5241,6.6
Putina,San Antonio de Putina,Lácteos,14242,3.9
Acora,Puno,Quinua,7508,8.3
Copani,Yunguyo,Cacao,5907,6.7
Huancané,Huancané,Maca,3168,5.3
Azángaro,Azángaro,Kiwicha,10684,5.7
Pedro Vilca Apaza,San Antonio de Putina,Maíz,24746,6.1
Conima,Moho,Trucha,4186,1.7
Arapa,Azángaro,Carne de llama,581,8.5
Muñani,Azángaro,Café,7269,7.5
Quilcapuncu,San Antonio de Putina,Papa,36690,4.7
Pilcuyo,El Collao,Maca,3248,4.3
Mañazo,Puno,Quinua,19217,8.1
Pichacani,Puno,Cebada,21087,3.2
Capachica,Puno,Kiwicha,4593,4.1
Huacullani,Chucuito,Tarwi,7947,7.3
Macusani,Carabaya,Trigo,3328,1.7
Azángaro,Azángaro,Lácteos,6990,7.8
Conima,Moho,Carne de llama,1344,5.0
Desaguadero,Chucuito,Cacao,1083,2.9
Conima,Moho,Oca,8678,6.9
Taraco,Huancané,Oca,9003,5.0
Huacullani,Chucuito,Maca,5150,4.2
Pedro Vilca Apaza,San Antonio de Putina,Trucha,3108,6.9
San Gabán,Carabaya,Kañiwa,2864,5.3
Crucero,Carabaya,Kiwicha,10100,7.3
Unicachi,Yunguyo,Tarwi,4178,2.1
Coata,Puno,Kiwicha,3890,3.5
Chucuito,Puno,Ajo,646,2.3
Nuñoa,Melgar,Trucha,7819,6.7
Santa Rosa,El Collao,Lácteos,14193,6.0
Nuñoa,Melgar,Lácteos,13598,8.6
Huacullani,Chucuito,Cebolla,3048,4.1
Saman,Azángaro,Maíz,4635,3.7
Crucero,Carabaya,Fresa,563,2.9
Antauta,Melgar,Cebada,9388,6.8
Huancané,Huancané,Quinua,9216,3.3
Huacullani,Chucuito,Trigo,5655,3.6
Coata,Puno,Cebolla,9894,5.6
Nuñoa,Melgar,Olluco,8725,6.6
Copani,Yunguyo,Cebolla,5772,3.2
Yanahuaya,Sandia,Trucha,4387,4.8
Coata,Puno,Kiwicha,10790,6.8
Crucero,Carabaya,Quinua,9597,6.1
Pomata,Chucuito,Cebolla,11599,7.8
Coata,Puno,Oca,7017,8.6
Huacullani,Chucuito,Fresa,3407,2.3
Saman,Azángaro,Olluco,4426,8.6
Saman,Azángaro,Ajo,1181,3.5
Huata,Puno,Carne de alpaca,2952,6.7
Vilque,Puno,Tarwi,5917,4.3
Huacullani,Chucuito,Miel,1184,1.6
Achaya,Azángaro,Cacao,5641,4.9
Vilque,Puno,Café,8868,7.0
Mañazo,Puno,Kañiwa,1077,7.8
Saman,Azángaro,Kañiwa,8437,8.0
Chucuito,Puno,Trucha,5385,9.4
Achaya,Azángaro,Ajo,3300,8.8
Moho,Moho,Maca,4078,2.2
Mañazo,Puno,Olluco,7490,2.3
Acora,Puno,Carne de llama,2851,9.7
Asillo,Azángaro,Carne de llama,3307,9.5
Unicachi,Yunguyo,Cebada,11433,3.9
Huata,Puno,Maíz,22782,8.2
Azángaro,Azángaro,Cebolla,10170,9.1
Crucero,Carabaya,Tarwi,4472,5.8
Juli,Chucuito,Tuna,1828,5.0
Vilquechico,Huancané,Olluco,7194,3.5
Sandia,Sandia,Tuna,2353,4.4
Arapa,Azángaro,Miel,863,9.3
Pichacani,Puno,Cebada,8226,2.0
Pedro Vilca Apaza,San Antonio de Putina,Cacao,5755,9.1
Arapa,Azángaro,Miel,421,8.9
Cabanilla,Lampa,Oca,7966,8.0
Saman,Azángaro,Maíz,8694,9.7
San Juan del Oro,Sandia,Quinua,7727,8.2
Phara,Sandia,Café,9803,4.1
Ilave,El Collao,Papa,13227,5.0
Tilali,Moho,Carne de llama,715,2.2
Pichacani,Puno,Tuna,1165,5.5
Santa Rosa,El Collao,Oca,9632,1.9
Pedro Vilca Apaza,San Antonio de Putina,Maíz,29320,7.5
Capaso,El Collao,Trigo,23743,4.9
Huata,Puno,Carne de alpaca,3453,8.6
Ananea,San Antonio de Putina,Olluco,7749,1.9
Mañazo,Puno,Cebada,15313,2.4
Ayaviri,Melgar,Cebolla,3680,4.8
Pedro Vilca Apaza,San Antonio de Putina,Carne de llama,4933,8.8
Coata,Puno,Carne de alpaca,1176,2.3
Yunguyo,Yunguyo,Oca,6563,9.5
Yanahuaya,Sandia,Lácteos,12583,6.3
Vilque,Puno,Cacao,6957,9.1
Pilcuyo,El Collao,Cebolla,8669,9.3
Palca,Lampa,Papa,23226,3.8
Capachica,Puno,Maíz,10997,5.9
Taraco,Huancané,Cacao,1385,7.8
Quilcapuncu,San Antonio de Putina,Cebolla,8808,3.3
Huata,Puno,Tarwi,7179,6.1
Phara,Sandia,Kiwicha,4935,2.2
Copani,Yunguyo,Tarwi,7801,5.8
Sandia,Sandia,Tuna,2382,5.7
Ilave,El Collao,Olluco,6720,3.2
Chucuito,Puno,Cebada,14273,4.9
Yunguyo,Yunguyo,Maca,3922,9.1
Ayaviri,Melgar,Ajo,1438,2.8
Pichacani,Puno,Cebolla,9692,9.7
Antauta,Melgar,Trigo,20028,3.5
San Juan del Oro,Sandia,Quinua,17026,9.4
Copani,Yunguyo,Cacao,3493,6.3
Tilali,Moho,Ajo,3620,3.3
Pedro Vilca Apaza,San Antonio de Putina,Maíz,13694,4.7
Juli,Chucuito,Kiwicha,7140,4.4
Pomata,Chucuito,Trigo,22089,7.1
Puno,Puno,Quinua,9179,6.3
Capachica,Puno,Café,4049,8.2
Macusani,Carabaya,Miel,2139,4.1
Putina,San Antonio de Putina,Miel,1694,7.3
Pucará,Lampa,Café,11282,4.8
Capachica,Puno,Olluco,8506,6.9
Juli,Chucuito,Kañiwa,6442,9.3
Puno,Puno,Carne de alpaca,5166,4.1
Phara,Sandia,Trigo,5623,1.5
Tiquillaca,Puno,Ajo,4010,7.4
Quilcapuncu,San Antonio de Putina,Tarwi,4375,5.0
Puno,Puno,Cebolla,4761,9.1
Saman,Azángaro,Oca,4788,4.6
Cabanilla,Lampa,Tarwi,2652,4.1
Huancané,Huancané,Oca,6143,3.5
Orurillo,Melgar,Olluco,8749,3.5
Chucuito,Puno,Tuna,1933,7.2
Azángaro,Azángaro,Quinua,13851,1.5
Juliaca,San Román,Tarwi,9196,8.5
Yanahuaya,Sandia,Quinua,6549,6.9
Ilave,El Collao,Olluco,6067,4.7
Huancané,Huancané,Olluco,7817,2.2
Huata,Puno,Café,4964,9.7
Capaso,El Collao,Oca,9740,3.9
Chucuito,Puno,Ajo,759,3.9
Ananea,San Antonio de Putina,Cebada,9531,8.2
Cabanilla,Lampa,Ajo,4029,3.6
Ilave,El Collao,Fresa,2254,5.3
Phara,Sandia,Kañiwa,1499,8.6
Putina,San Antonio de Putina,Tuna,3111,6.1
Huancané,Huancané,Papa,11021,3.2
Copani,Yunguyo,Lácteos,6238,6.4
San Gabán,Carabaya,Kiwicha,9498,6.2
Phara,Sandia,Fresa,762,4.1
Antauta,Melgar,Oca,6520,9.4
Azángaro,Azángaro,Kañiwa,4062,4.9
Pomata,Chucuito,Olluco,5398,4.9
Arapa,Azángaro,Trigo,16989,5.6
Ananea,San Antonio de Putina,Tuna,1682,7.9
Macusani,Carabaya,Ajo,5690,3.7
Desaguadero,Chucuito,Tarwi,6221,3.0
Juliaca,San Román,Kañiwa,8410,6.4
Tiquillaca,Puno,Tarwi,5024,4.3
Saman,Azángaro,Ajo,745,1.6
Vilquechico,Huancané,Trigo,10740,6.3
Yunguyo,Yunguyo,Tarwi,4635,2.2
Santa Rosa,El Collao,Fresa,1661,3.3
San Antón,Azángaro,Carne de llama,4244,1.8
Acora,Puno,Ajo,2703,2.3
Asillo,Azángaro,Cacao,6178,1.7
Juli,Chucuito,Kañiwa,3777,8.2
Santa Rosa,El Collao,Maíz,6341,3.2
Putina,San Antonio de Putina,Papa,35892,4.6
Mañazo,Puno,Tuna,2524,6.2
Santa Rosa,El Collao,Carne de alpaca,1449,7.2
Puno,Puno,Oca,4312,8.7
Yunguyo,Yunguyo,Maca,1019,2.0
Macusani,Carabaya,Oca,9374,9.0
Moho,Moho,Lácteos,6437,2.5
Capachica,Puno,Quinua,10046,3.4
Chucuito,Puno,Trigo,17564,7.4
Huacullani,Chucuito,Maíz,5203,9.7
Chucuito,Puno,Oca,1347,6.2
Tiquillaca,Puno,Café,5450,9.1
Pucará,Lampa,Kiwicha,9811,4.0
San Gabán,Carabaya,Papa,42188,2.0
Pucará,Lampa,Café,3843,3.1
Desaguadero,Chucuito,Ajo,838,1.6
Conima,Moho,Ajo,2723,1.8
Vilque,Puno,Tarwi,5973,2.7
Huancané,Huancané,Olluco,7498,5.2
Coata,Puno,Carne de llama,1323,5.0
Phara,Sandia,Trucha,5662,7.2
Huancané,Huancané,Ajo,4500,5.4
Moho,Moho,Maca,6840,8.6
Macusani,Carabaya,Kañiwa,2005,6.8
Phara,Sandia,Tuna,4067,6.8
Yanahuaya,Sandia,Carne de alpaca,1352,4.4
Juliaca,San Román,Tarwi,9338,8.7
Huancané,Huancané,Olluco,807,2.2
Antauta,Melgar,Trigo,18558,2.9
Palca,Lampa,Café,7043,4.2
Achaya,Azángaro,Tarwi,2455,4.2
Saman,Azángaro,Maíz,4774,5.9
Moho,Moho,Papa,33841,7.7
Copani,Yunguyo,Cebada,14715,4.3
Pedro Vilca Apaza,San Antonio de Putina,Trigo,3154,5.1
Saman,Azángaro,Quinua,6791,1.9
Macusani,Carabaya,Quinua,11416,5.7
Taraco,Huancané,Carne de llama,3041,2.1
Pedro Vilca Apaza,San Antonio de Putina,Papa,16049,7.8
Pucará,Lampa,Tuna,3990,2.5
Lampa,Lampa,Quinua,15655,3.3
Huata,Puno,Ajo,4066,6.6
Puno,Puno,Trucha,2868,5.0
Juliaca,San Román,Papa,17596,2.0
Yunguyo,Yunguyo,Papa,30772,8.3
Phara,Sandia,Carne de llama,2012,5.3
Pomata,Chucuito,Trucha,5882,9.5
Juli,Chucuito,Kiwicha,10204,7.9
Yanahuaya,Sandia,Cebolla,9536,2.5
Mañazo,Puno,Papa,17329,5.3
Capaso,El Collao,Cebolla,3852,2.6
Putina,San Antonio de Putina,Kañiwa,7727,2.3
Quilcapuncu,San Antonio de Putina,Papa,23573,6.2
Lampa,Lampa,Ajo,500,2.9
Chucuito,Puno,Maíz,23082,2.7
Coata,Puno,Tuna,3479,5.8
Antauta,Melgar,Cebada,9912,1.9
Chucuito,Puno,Tarwi,5654,7.6
Tiquillaca,Puno,Tarwi,5697,9.5
Tilali,Moho,Carne de alpaca,4328,1.6
Ilave,El Collao,Maca,3517,1.4
Pucará,Lampa,Oca,2037,3.3
Azángaro,Azángaro,Tarwi,6640,9.0
Huacullani,Chucuito,Carne de llama,1625,5.4
Pichacani,Puno,Olluco,5460,3.6
Huacullani,Chucuito,Tarwi,5776,3.8
Achaya,Azángaro,Trigo,15691,7.3
Huancané,Huancané,Miel,2159,2.6
Acora,Puno,Cebolla,6802,5.9
Muñani,Azángaro,Carne de llama,2243,5.3
Capaso,El Collao,Kañiwa,4430,4.5
Vilquechico,Huancané,Lácteos,4933,7.2
Pilcuyo,El Collao,Ajo,2795,3.0
Arapa,Azángaro,Ajo,955,5.2
Macusani,Carabaya,Carne de alpaca,1579,6.0
Pucará,Lampa,Cacao,6450,2.4
Phara,Sandia,Fresa,1402,2.4
Mañazo,Puno,Miel,1186,8.2
Crucero,Carabaya,Carne de alpaca,2797,9.4
Moho,Moho,Olluco,6556,3.2
Taraco,Huancané,Lácteos,7438,8.2
Yanahuaya,Sandia,Olluco,8821,8.9
Juliaca,San Román,Fresa,1768,8.9
Pucará,Lampa,Papa,12104,7.7
Crucero,Carabaya,Carne de llama,4953,7.9
Moho,Moho,Miel,442,8.7
Coata,Puno,Tuna,3343,4.0
Santa Rosa,El Collao,Cebolla,12652,8.4
Azángaro,Azángaro,Café,4833,2.2
Taraco,Huancané,Cebolla,6413,4.3
Pichacani,Puno,Café,5810,8.3
Huancané,Huancané,Miel,1573,4.5
Cabanilla,Lampa,Ajo,1011,8.4
Copani,Yunguyo,Fresa,1222,1.9
Unicachi,Yunguyo,Trucha,4056,8.7
San Antonio,Puno,Café,11788,1.6
Putina,San Antonio de Putina,Carne de alpaca,2993,6.4
Moho,Moho,Café,4085,9.6
Pilcuyo,El Collao,Cebolla,10613,1.6
Antauta,Melgar,Trigo,13266,4.2
San Gabán,Carabaya,Olluco,3492,1.5
Juli,Chucuito,Cacao,4387,8.9
San Gabán,Carabaya,Tuna,4306,4.2
Santa Rosa,El Collao,Kañiwa,4216,5.5
Azángaro,Azángaro,Olluco,987,7.1
Macusani,Carabaya,Olluco,3960,4.9
Putina,San Antonio de Putina,Tarwi,6036,1.4
Juliaca,San Román,Kiwicha,1993,7.8
Cabanilla,Lampa,Fresa,571,7.9
Copani,Yunguyo,Papa,15743,1.5
San Antón,Azángaro,Olluco,3110,6.7
Desaguadero,Chucuito,Carne de llama,3483,7.6
San Juan del Oro,Sandia,Maíz,23736,3.7
Azángaro,Azángaro,Lácteos,13915,3.6
Vilque,Puno,Cebada,16339,8.8
Pucará,Lampa,Lácteos,10339,9.1
Ollachea,Carabaya,Cebolla,6848,2.5
Vilquechico,Huancané,Miel,228,3.9
Ollachea,Carabaya,Carne de llama,954,4.1
Yanahuaya,Sandia,Ajo,1869,9.0
Huancané,Huancané,Tuna,4090,8.0
Vilquechico,Huancané,Papa,20462,4.9
Pomata,Chucuito,Oca,1952,7.5
Muñani,Azángaro,Oca,7225,1.5
Antauta,Melgar,Cebada,16383,2.0
Huata,Puno,Kañiwa,3754,5.8
Moho,Moho,Oca,9125,1.7
San Antón,Azángaro,Maca,2445,2.0
San Antonio,Puno,Café,1019,5.0
Desaguadero,Chucuito,Maíz,9696,6.0
Yanahuaya,Sandia,Quinua,5111,7.4
Conima,Moho,Trucha,1888,6.3
Cabanilla,Lampa,Tarwi,4025,2.2
Yunguyo,Yunguyo,Tuna,2168,7.9
Huata,Puno,Oca,2571,3.3
Taraco,Huancané,Fresa,2322,3.8
Nuñoa,Melgar,Carne de llama,3982,1.6
Capaso,El Collao,Cebolla,2761,2.9
Sandia,Sandia,Quinua,18178,1.8
San Antón,Azángaro,Olluco,1383,5.4
Ayaviri,Melgar,Trigo,18216,2.2
Asillo,Azángaro,Tarwi,4149,7.9
Huancané,Huancané,Trigo,9515,9.4
Cabanilla,Lampa,Tarwi,1757,7.0
Ayaviri,Melgar,Cebada,9941,1.8
Asillo,Azángaro,Trigo,10377,2.3
San Gabán,Carabaya,Lácteos,13238,1.8
Palca,Lampa,Trucha,6996,2.4
Huata,Puno,Ajo,4614,7.7
Capachica,Puno,Lácteos,9661,5.1
